image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
2,23,7300.0,872.2233607952725,865.6257922564348,872.7517750315443,879.3196082028902,52778.9109759999,0.226368455777437,0.13956131675550987,triplet,True,ok
3,23,8050.000000000001,875.4051930554788,872.0338609020642,877.6554514489455,883.3132991362868,51374.06416800013,0.1926977181182716,0.11880253891385426,triplet,True,ok
4,23,9300.0,862.2086956662885,844.2607743103209,861.4697739281122,869.1558749045982,47149.34931899991,0.45234643169217426,0.27888189376829486,triplet,True,ok
0,24,6000.0,904.7603366842515,,,,,,,triplet,False,no adjacent order for FSR
1,24,6700.0,906.2446483747159,,,,,,,triplet,False,no adjacent order for FSR
2,24,7300.0,901.9714530366247,896.6747849065434,902.1386213680169,908.2003429917603,46770.936960000196,0.2223837544771208,0.13710465750747275,triplet,True,ok
3,24,8050.000000000001,904.2722577832963,,,,,,,triplet,False,no adjacent order for FSR
4,24,9300.0,917.941714613767,,,,,,,triplet,False,no adjacent order for FSR
0,25,6000.0,919.6343828049276,,,,,,,triplet,False,no adjacent order for FSR
1,25,6700.0,906.2446483747159,,,,,,,triplet,False,no adjacent order for FSR
2,25,7300.0,922.8880803938255,,,,,,,triplet,False,no adjacent order for FSR
3,25,8050.000000000001,904.2722577832963,,,,,,,triplet,False,no adjacent order for FSR
4,25,9300.0,917.941714613767,,,,,,,triplet,False,no adjacent order for FSR
