image_idx,ring_idx,B_g,r_guess,mu_left,mu_center,mu_right,fsr_local,frac_shift,delta_wn_cm_inv,model,success,note
2,17,7350.0,672.3533660486872,662.8010230762181,673.0203314048681,681.5535789714504,50726.416976000066,0.24849069105195362,0.15320017944016867,triplet,True,ok
3,17,8050.000000000001,680.6670579868692,669.8726029645617,677.6784991255363,683.7886607640322,50588.41630000004,0.18618519578909454,0.1147874203385293,triplet,True,ok
4,17,9300.0,665.2538744705381,647.3059531145707,665.2313504009684,677.8153201902994,49710.7567495,0.4066384620821731,0.2507018878435099,triplet,True,ok
0,18,5970.0,714.1866207630887,704.4192957438102,714.008073641578,720.7901435933726,51706.42884800007,0.22561881960304456,0.13909914895378825,triplet,True,ok
1,18,6150.0,717.7971146119999,706.6574373698139,714.443502696909,720.2980666327271,49171.407525000046,0.19792570504388948,0.12202571211090596,triplet,True,ok
2,18,7350.0,709.0736674091064,703.955606494878,710.3800682808877,716.4322938465419,52037.42051200004,0.170278768396673,0.10498074500411404,triplet,True,ok
3,18,8050.000000000001,716.8654407407989,707.3161873177587,715.8773520102561,721.8827523534419,49763.71698799991,0.20917367676403892,0.1289603432577305,triplet,True,ok
4,18,9300.0,701.6220309023673,701.059995037667,709.0434349252894,713.7471059113777,50266.67273250013,0.17854587919689566,0.11007760739635983,triplet,True,ok
0,19,5970.0,749.5124802996945,740.4778706815317,748.6102665117603,754.7762769445504,49105.59487199993,0.21769160240244012,0.13421183871913694,triplet,True,ok
1,19,6150.0,751.2683310710711,742.5039752893695,751.8340639606776,769.1502138368761,51412.05218749994,0.3917359491690266,0.24151414868620627,triplet,True,ok
2,19,7350.0,744.8643408869833,735.5274060318168,741.7938604960437,746.5667874228704,50976.17308800004,0.16048088810793745,0.09894012830329066,triplet,True,ok
3,19,8050.000000000001,750.7727866115686,740.5625263568282,746.0661700761347,752.6250862285046,49907.74543200026,0.1804495957546034,0.11125129208051997,triplet,True,ok
4,19,9300.0,736.5732461745149,728.592466504847,736.1537498584548,747.095710530475,49798.20420749998,0.27415665765419656,0.16902383332564522,triplet,True,ok
0,20,5970.0,781.5846422474024,773.86853125744,778.9536229192462,784.1108934098229,51919.45611999999,0.1536744670102213,0.09474381443293545,triplet,True,ok
1,20,6150.0,784.7395475301423,776.1032999981261,782.1476036204594,787.5932698623087,49906.37597499997,0.18000532109787373,0.1109773866201441,triplet,True,ok
2,20,7350.0,778.3309446585046,770.0195994343549,776.428973302169,780.598763236788,49448.25334399997,0.16587285236991448,0.10226439726875121,triplet,True,ok
3,20,8050.000000000001,783.3055103524423,774.0563067095619,778.6385875044543,784.9164636170601,51277.065420000115,0.16509026756492856,0.10178191588466619,triplet,True,ok
4,20,9300.0,769.6352065670869,762.6429935682625,769.2710395955553,778.4621817289707,48954.96086249978,0.24899450754277777,0.15351079379949306,triplet,True,ok
0,21,5970.0,814.1216181363814,809.2911598889705,815.9444768262315,821.2909273326798,50891.91280800023,0.19223688760095184,0.11851842638776315,triplet,True,ok
1,21,6150.0,815.9182149166744,805.5403349508068,810.9054599513294,817.2114262384388,51074.00033750001,0.18541022650324374,0.1143096340957113,triplet,True,ok
2,21,7350.0,809.4734787236702,803.9736363175542,811.0949671803477,819.8330809854873,51387.9682,0.25057103526896807,0.1544827591054057,triplet,True,ok
3,21,8050.000000000001,815.3800267166839,806.8119308185408,811.0514086421402,816.755157510384,50231.4944999998,0.16069097455054404,0.09906965138751174,triplet,True,ok
4,21,9300.0,800.8079120800833,794.1802046848161,799.8610776816537,806.76381631817,50112.747360000154,0.2010033261828481,0.12392313574774852,triplet,True,ok
0,22,5970.0,844.7993382602759,840.5236828643756,845.9632493353474,852.2997400301233,51960.505999999936,0.19182632093230875,0.11826530267096716,triplet,True,ok
1,22,6150.0,846.6383724886987,840.8154396452786,847.0183389250669,852.6510580349467,51353.187437500106,0.19515072211072187,0.12031487183151779,triplet,True,ok
2,22,7350.0,840.6160127888357,836.5509360850253,840.728879333991,844.2651905164716,54138.31015999999,0.11975108952201953,0.07382927837362487,triplet,True,ok
3,22,8050.000000000001,845.6217135743973,836.8541687852988,842.1187510291995,848.2602750384146,51258.16956000007,0.1874881073583286,0.11559069504212613,triplet,True,ok
4,22,9300.0,831.5083038731859,824.4356029953448,830.9635084808341,837.5544997826695,51997.775472499896,0.20965778268179178,0.12925880559913178,triplet,True,ok
0,23,5970.0,875.0122444428993,857.3493146745965,865.8388704378949,875.5708056480263,52944.83891199995,0.2982008159720441,0.18384760540816528,triplet,True,ok
1,23,6150.0,876.4415104317073,858.5596276661488,872.2370573317734,878.7542036184053,53129.64149999991,0.3301764808518588,0.20356133221446288,triplet,True,ok
2,23,7350.0,872.2233607952725,865.6257920666601,872.7517748046666,879.3196076435567,52778.9109759999,0.22636844957118785,0.13956131292921567,triplet,True,ok
3,23,8050.000000000001,875.4051930554788,872.0333729512155,877.6553079315796,883.3132750387088,51374.06416800013,0.19270558636539586,0.11880738986769165,triplet,True,ok
4,23,9300.0,862.2086956662885,844.2607743103209,861.4697737622591,869.1558748592626,47149.34931899991,0.4523464308564513,0.27888189325305257,triplet,True,ok
0,24,5970.0,904.7603366842515,,,,,,,triplet,False,no adjacent order for FSR
1,24,6150.0,906.2446483747159,,,,,,,triplet,False,no adjacent order for FSR
2,24,7350.0,901.9714530366247,896.674793081748,902.1386227405051,908.200343133099,46770.936960000196,0.22238360048969688,0.13710456257071324,triplet,True,ok
3,24,8050.000000000001,904.2722577832963,,,,,,,triplet,False,no adjacent order for FSR
4,24,9300.0,917.941714613767,,,,,,,triplet,False,no adjacent order for FSR
0,25,5970.0,919.6343828049276,,,,,,,triplet,False,no adjacent order for FSR
1,25,6150.0,906.2446483747159,,,,,,,triplet,False,no adjacent order for FSR
2,25,7350.0,922.8880803938255,,,,,,,triplet,False,no adjacent order for FSR
3,25,8050.000000000001,904.2722577832963,,,,,,,triplet,False,no adjacent order for FSR
4,25,9300.0,917.941714613767,,,,,,,triplet,False,no adjacent order for FSR
