Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.15904698,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.935280e+05,-7.811682e+01
1.935453e+05,-7.812850e+01
1.935627e+05,-7.818407e+01
1.935800e+05,-7.809826e+01
1.935973e+05,-7.797144e+01
1.936147e+05,-7.803870e+01
1.936320e+05,-7.820498e+01
1.936493e+05,-7.843634e+01
1.936667e+05,-7.867422e+01
1.936840e+05,-7.880378e+01
1.937013e+05,-7.872169e+01
1.937187e+05,-7.829515e+01
1.937360e+05,-7.795194e+01
1.937533e+05,-7.783165e+01
1.937707e+05,-7.771790e+01
1.937880e+05,-7.760472e+01
1.938053e+05,-7.746318e+01
1.938227e+05,-7.730799e+01
1.938400e+05,-7.726926e+01
1.938573e+05,-7.729981e+01
1.938747e+05,-7.735793e+01
1.938920e+05,-7.749052e+01
1.939093e+05,-7.780269e+01
1.939267e+05,-7.814432e+01
1.939440e+05,-7.831790e+01
1.939613e+05,-7.841007e+01
1.939787e+05,-7.842370e+01
1.939960e+05,-7.834686e+01
1.940133e+05,-7.817461e+01
1.940307e+05,-7.794375e+01
1.940480e+05,-7.765792e+01
1.940653e+05,-7.753658e+01
1.940827e+05,-7.754241e+01
1.941000e+05,-7.758346e+01
1.941173e+05,-7.766006e+01
1.941347e+05,-7.758084e+01
1.941520e+05,-7.743467e+01
1.941693e+05,-7.730756e+01
1.941867e+05,-7.718715e+01
1.942040e+05,-7.711331e+01
1.942213e+05,-7.706336e+01
1.942387e+05,-7.703038e+01
1.942560e+05,-7.696743e+01
1.942733e+05,-7.684662e+01
1.942907e+05,-7.676252e+01
1.943080e+05,-7.672842e+01
1.943253e+05,-7.676647e+01
1.943427e+05,-7.687403e+01
1.943600e+05,-7.721984e+01
1.943773e+05,-7.768639e+01
1.943947e+05,-7.765184e+01
1.944120e+05,-7.741936e+01
1.944293e+05,-7.738293e+01
1.944467e+05,-7.743080e+01
1.944640e+05,-7.763734e+01
1.944813e+05,-7.775333e+01
1.944987e+05,-7.750320e+01
1.945160e+05,-7.731975e+01
1.945333e+05,-7.740148e+01
1.945507e+05,-7.747378e+01
1.945680e+05,-7.749804e+01
1.945853e+05,-7.740470e+01
1.946027e+05,-7.720014e+01
1.946200e+05,-7.714951e+01
1.946373e+05,-7.717547e+01
1.946547e+05,-7.722484e+01
1.946720e+05,-7.730049e+01
1.946893e+05,-7.733473e+01
1.947067e+05,-7.734675e+01
1.947240e+05,-7.732325e+01
1.947413e+05,-7.729832e+01
1.947587e+05,-7.731271e+01
1.947760e+05,-7.736492e+01
1.947933e+05,-7.746749e+01
1.948107e+05,-7.756619e+01
1.948280e+05,-7.764644e+01
1.948453e+05,-7.764215e+01
1.948627e+05,-7.755403e+01
1.948800e+05,-7.762111e+01
1.948973e+05,-7.777429e+01
1.949147e+05,-7.781044e+01
1.949320e+05,-7.777352e+01
1.949493e+05,-7.755038e+01
1.949667e+05,-7.724688e+01
1.949840e+05,-7.705022e+01
1.950013e+05,-7.694889e+01
1.950187e+05,-7.704023e+01
1.950360e+05,-7.720595e+01
1.950533e+05,-7.738089e+01
1.950707e+05,-7.758374e+01
1.950880e+05,-7.780892e+01
1.951053e+05,-7.788548e+01
1.951227e+05,-7.780543e+01
1.951400e+05,-7.780382e+01
1.951573e+05,-7.783911e+01
1.951747e+05,-7.793835e+01
1.951920e+05,-7.805969e+01
1.952093e+05,-7.800408e+01
1.952267e+05,-7.785929e+01
1.952440e+05,-7.768442e+01
1.952613e+05,-7.753041e+01
1.952787e+05,-7.752804e+01
1.952960e+05,-7.761255e+01
1.953133e+05,-7.777489e+01
1.953307e+05,-7.790402e+01
1.953480e+05,-7.794654e+01
1.953653e+05,-7.782856e+01
1.953827e+05,-7.753885e+01
1.954000e+05,-7.746345e+01
1.954173e+05,-7.753896e+01
1.954347e+05,-7.758226e+01
1.954520e+05,-7.764484e+01
1.954693e+05,-7.773287e+01
1.954867e+05,-7.781623e+01
1.955040e+05,-7.779294e+01
1.955213e+05,-7.772630e+01
1.955387e+05,-7.766635e+01
1.955560e+05,-7.757110e+01
1.955733e+05,-7.741712e+01
1.955907e+05,-7.729815e+01
1.956080e+05,-7.725953e+01
