Y Axis Scale,LOG
Y Axis Unit,dBm
Impedance,50
Number of Points,751
PreAmp State,ON
Ref Level,+1.000000000E+01
Attenuation,50.000000,Auto
Sweep Time,27932.000000,Auto
Start Frequency,+1.850000000E+05
Stop Frequency,+1.980000000E+05
Average Type,Log Pwr
RBW,100.000000,Auto
VBW,100.000000,Auto
Sweep Type,Continuous
Sweep Mode,Speed
Sweep Rule,Auto
Trigger Source,Free Run
Trigger Level,+0.000000000E+00
Trigger Edge,Rise
Marker,1,2,3,4,5,6,7,8
Marker Type,Normal,Off,Off,Off,Off,Off,Off,Off
Marker on Trace,A,,,,,,,
Marker Read Out,Frequency,,,,,,,
Marker X Axis,192000.00000000,,,,,,,
Marker Ampt,-77.26250930,,,,,,,
Trace Math,OFF
Trace Variable X,Trace A
Trace Variable Y,Trace B
1.953827e+05,-7.742046e+01
1.954000e+05,-7.749857e+01
1.954173e+05,-7.755709e+01
1.954347e+05,-7.754588e+01
1.954520e+05,-7.749094e+01
1.954693e+05,-7.745425e+01
1.954867e+05,-7.742318e+01
1.955040e+05,-7.742901e+01
1.955213e+05,-7.742218e+01
1.955387e+05,-7.732730e+01
1.955560e+05,-7.727931e+01
1.955733e+05,-7.739280e+01
1.955907e+05,-7.747628e+01
1.956080e+05,-7.745462e+01
1.956253e+05,-7.742661e+01
1.956427e+05,-7.740118e+01
1.956600e+05,-7.743300e+01
1.956773e+05,-7.751254e+01
1.956947e+05,-7.741019e+01
1.957120e+05,-7.721632e+01
1.957293e+05,-7.713063e+01
1.957467e+05,-7.708257e+01
1.957640e+05,-7.705845e+01
1.957813e+05,-7.703745e+01
1.957987e+05,-7.696184e+01
1.958160e+05,-7.691801e+01
1.958333e+05,-7.698449e+01
1.958507e+05,-7.714894e+01
1.958680e+05,-7.742666e+01
1.958853e+05,-7.762015e+01
1.959027e+05,-7.768570e+01
1.959200e+05,-7.785619e+01
1.959373e+05,-7.811906e+01
1.959547e+05,-7.817491e+01
1.959720e+05,-7.811356e+01
1.959893e+05,-7.803741e+01
1.960067e+05,-7.793301e+01
1.960240e+05,-7.789483e+01
1.960413e+05,-7.787412e+01
1.960587e+05,-7.783418e+01
1.960760e+05,-7.782682e+01
1.960933e+05,-7.790421e+01
1.961107e+05,-7.804907e+01
1.961280e+05,-7.826592e+01
1.961453e+05,-7.841123e+01
1.961627e+05,-7.844249e+01
1.961800e+05,-7.835545e+01
1.961973e+05,-7.815060e+01
1.962147e+05,-7.810922e+01
1.962320e+05,-7.814584e+01
1.962493e+05,-7.800030e+01
1.962667e+05,-7.779362e+01
1.962840e+05,-7.773747e+01
1.963013e+05,-7.779002e+01
1.963187e+05,-7.804540e+01
1.963360e+05,-7.823009e+01
1.963533e+05,-7.797143e+01
1.963707e+05,-7.772364e+01
1.963880e+05,-7.773460e+01
1.964053e+05,-7.783707e+01
1.964227e+05,-7.801597e+01
1.964400e+05,-7.814105e+01
1.964573e+05,-7.820649e+01
1.964747e+05,-7.826683e+01
1.964920e+05,-7.831219e+01
1.965093e+05,-7.828427e+01
1.965267e+05,-7.823094e+01
1.965440e+05,-7.834363e+01
1.965613e+05,-7.848637e+01
1.965787e+05,-7.843887e+01
1.965960e+05,-7.831159e+01
1.966133e+05,-7.815088e+01
1.966307e+05,-7.799061e+01
1.966480e+05,-7.788264e+01
1.966653e+05,-7.773973e+01
1.966827e+05,-7.753377e+01
1.967000e+05,-7.744169e+01
1.967173e+05,-7.747927e+01
1.967347e+05,-7.757812e+01
1.967520e+05,-7.774556e+01
1.967693e+05,-7.799399e+01
1.967867e+05,-7.829084e+01
1.968040e+05,-7.841014e+01
1.968213e+05,-7.843001e+01
1.968387e+05,-7.835262e+01
1.968560e+05,-7.821689e+01
1.968733e+05,-7.810137e+01
1.968907e+05,-7.799782e+01
1.969080e+05,-7.793294e+01
1.969253e+05,-7.781814e+01
1.969427e+05,-7.761228e+01
1.969600e+05,-7.742311e+01
1.969773e+05,-7.726399e+01
1.969947e+05,-7.707906e+01
1.970120e+05,-7.687388e+01
1.970293e+05,-7.672249e+01
1.970467e+05,-7.660862e+01
1.970640e+05,-7.658482e+01
