Model,MSO2024
Firmware Version,1.52

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,0.02,,,
Sample Interval,1.6e-07,,,
Filter Frequency,2e+08,,,
Record Length,1.25e+06,,,
Gating,0.0% to 100.0%,,0.0% to 100.0%,
Probe Attenuation,10,,1,
Vertical Units,V,,V,
Vertical Offset,0,,0,
Vertical Scale,2,,1,
Label,,,,
TIME,CH1,CH1 Peak Detect,CH4,CH4 Peak Detect
8.855360e-03,-1,-1,0.7,0.7
8.855520e-03,-1,-0.92,0.7,0.74
8.855680e-03,-1,-1,0.7,0.7
8.855840e-03,-1,-0.92,0.7,0.74
8.856000e-03,-1,-1,0.7,0.7
8.856160e-03,-1,-0.92,0.7,0.74
8.856320e-03,-1,-1,0.74,0.7
8.856480e-03,-1,-0.92,0.74,0.74
8.856640e-03,-1,-1,0.74,0.7
8.856800e-03,-1,-0.92,0.7,0.74
8.856960e-03,-1,-1,0.7,0.7
8.857120e-03,-0.92,-0.92,0.7,0.74
8.857280e-03,-1,-1.08,0.74,0.7
8.857440e-03,-1,-0.92,0.7,0.74
8.857600e-03,-1,-1,0.7,0.7
8.857760e-03,-1,-0.92,0.7,0.74
8.857920e-03,-1,-1,0.74,0.7
8.858080e-03,-1,-0.92,0.7,0.74
8.858240e-03,-1,-1,0.74,0.7
8.858400e-03,-1,-0.92,0.74,0.74
8.858560e-03,-1,-1.08,0.7,0.7
8.858720e-03,-1,-0.92,0.7,0.74
8.858880e-03,-1,-1,0.74,0.7
8.859040e-03,-1,-0.92,0.7,0.74
8.859200e-03,-1,-1,0.74,0.7
8.859360e-03,-1,-0.92,0.74,0.74
8.859520e-03,-1,-1.08,0.74,0.7
8.859680e-03,-1,-0.92,0.74,0.74
8.859840e-03,-1,-1.08,0.7,0.7
8.860000e-03,-1,-0.92,0.74,0.74
8.860160e-03,-1,-1,0.7,0.7
8.860320e-03,-1,-0.92,0.74,0.74
8.860480e-03,-1,-1,0.74,0.7
8.860640e-03,-1,-0.92,0.74,0.74
8.860800e-03,-1,-1.08,0.74,0.7
8.860960e-03,-1,-0.92,0.74,0.74
8.861120e-03,-1,-1.08,0.74,0.7
8.861280e-03,-1,-0.92,0.74,0.74
8.861440e-03,-1,-1,0.74,0.7
8.861600e-03,-1,-0.92,0.74,0.74
8.861760e-03,-1,-1,0.7,0.7
8.861920e-03,-1,-0.92,0.74,0.74
8.862080e-03,-1,-1.08,0.74,0.7
8.862240e-03,-1,-0.92,0.74,0.74
8.862400e-03,-1,-1.08,0.74,0.7
8.862560e-03,-1,-0.92,0.7,0.74
8.862720e-03,-1,-1.08,0.7,0.7
8.862880e-03,-1,-0.92,0.7,0.74
8.863040e-03,-1,-1.08,0.7,0.7
8.863200e-03,-1,-0.92,0.7,0.74
8.863360e-03,-1,-1,0.74,0.7
8.863520e-03,-1,-0.92,0.7,0.74
8.863680e-03,-0.92,-1,0.7,0.7
8.863840e-03,-1,-0.92,0.7,0.74
8.864000e-03,-1,-1.08,0.7,0.7
8.864160e-03,-1,-0.92,0.7,0.74
8.864320e-03,-1,-1,0.7,0.7
8.864480e-03,-1,-0.92,0.74,0.74
8.864640e-03,-1,-1,0.7,0.7
8.864800e-03,-1,-0.92,0.74,0.74
8.864960e-03,-1,-1,0.7,0.7
8.865120e-03,-1,-0.92,0.7,0.74
8.865280e-03,-1,-1.08,0.74,0.7
8.865440e-03,-1,-0.92,0.7,0.74
8.865600e-03,-1,-1.08,0.74,0.7
8.865760e-03,-1,-0.92,0.7,0.74
8.865920e-03,-1,-1.08,0.7,0.7
8.866080e-03,-1,-0.92,0.7,0.74
8.866240e-03,-1,-1.08,0.74,0.7
8.866400e-03,-1,-0.92,0.7,0.74
8.866560e-03,-1,-1.08,0.74,0.7
8.866720e-03,-1,-0.92,0.74,0.74
8.866880e-03,-1,-1.08,0.74,0.7
8.867040e-03,-1,-0.92,0.74,0.74
8.867200e-03,-1,-1.08,0.74,0.7
8.867360e-03,-1,-0.92,0.7,0.74
8.867520e-03,-1,-1,0.74,0.7
8.867680e-03,-1,-0.92,0.74,0.74
8.867840e-03,-0.92,-1,0.74,0.7
8.868000e-03,-1,-0.92,0.74,0.74
8.868160e-03,-0.92,-1,0.74,0.7
8.868320e-03,-0.92,-0.92,0.74,0.74
8.868480e-03,-1,-1.08,0.74,0.7
8.868640e-03,-1,-0.92,0.74,0.74
8.868800e-03,-1,-1.08,0.7,0.7
8.868960e-03,-1,-0.92,0.74,0.74
8.869120e-03,-1,-1,0.7,0.7
8.869280e-03,-1,-0.92,0.7,0.74
8.869440e-03,-1,-1.08,0.74,0.7
8.869600e-03,-1,-0.92,0.7,0.74
8.869760e-03,-1,-1.08,0.7,0.7
8.869920e-03,-1,-0.92,0.74,0.74
8.870080e-03,-1,-1,0.74,0.7
8.870240e-03,-1,-0.92,0.74,0.74
8.870400e-03,-1,-1,0.74,0.7
8.870560e-03,-1,-0.92,0.74,0.74
8.870720e-03,-1,-1.08,0.74,0.7
8.870880e-03,-1,-0.92,0.7,0.74
8.871040e-03,-1,-1,0.7,0.7
8.871200e-03,-1,-0.92,0.7,0.74
8.871360e-03,-0.92,-1.08,0.74,0.7
8.871520e-03,-1,-0.92,0.74,0.74
8.871680e-03,-0.92,-1,0.74,0.7
8.871840e-03,-1,-0.92,0.7,0.74
8.872000e-03,-1,-1.08,0.7,0.7
8.872160e-03,-1,-0.92,0.74,0.74
8.872320e-03,-1,-1,0.7,0.7
8.872480e-03,-1,-0.92,0.74,0.74
8.872640e-03,-1,-1.08,0.74,0.7
8.872800e-03,-1,-0.92,0.74,0.74
8.872960e-03,-1,-1.08,0.7,0.7
8.873120e-03,-1,-0.92,0.7,0.74
8.873280e-03,-1,-1,0.74,0.7
8.873440e-03,-1,-0.92,0.74,0.74
8.873600e-03,-1,-1,0.7,0.7
8.873760e-03,-0.92,-0.92,0.7,0.74
8.873920e-03,-1,-1,0.7,0.7
8.874080e-03,-1,-0.92,0.74,0.74
8.874240e-03,-1,-1,0.74,0.7
8.874400e-03,-1,-0.92,0.7,0.74
8.874560e-03,-1,-1.08,0.7,0.7
8.874720e-03,-1,-0.92,0.74,0.74
8.874880e-03,-1,-1.08,0.7,0.7
8.875040e-03,-1,-0.92,0.7,0.74
8.875200e-03,-1,-1.08,0.7,0.7
8.875360e-03,-1,-0.92,0.7,0.74
8.875520e-03,-1,-1.08,0.7,0.7
8.875680e-03,-1,-0.92,0.74,0.74
8.875840e-03,-1,-1,0.7,0.7
8.876000e-03,-1,-0.92,0.7,0.74
8.876160e-03,-1,-1.08,0.74,0.7
8.876320e-03,-1,-0.92,0.74,0.74
8.876480e-03,-1,-1.08,0.74,0.7
8.876640e-03,-1,-0.92,0.7,0.74
8.876800e-03,-1,-1,0.7,0.7
8.876960e-03,-1,-0.92,0.74,0.74
8.877120e-03,-1,-1,0.74,0.7
8.877280e-03,-1,-0.92,0.7,0.74
8.877440e-03,-1,-1.08,0.74,0.7
8.877600e-03,-1,-0.92,0.74,0.74
8.877760e-03,-1,-1.08,0.74,0.7
8.877920e-03,-1,-0.92,0.7,0.74
8.878080e-03,-1,-1.08,0.7,0.7
8.878240e-03,-1,-0.92,0.74,0.74
8.878400e-03,-1,-1.08,0.74,0.7
8.878560e-03,-1,-0.92,0.7,0.74
8.878720e-03,-1,-1.08,0.7,0.7
8.878880e-03,-1,-0.92,0.7,0.74
8.879040e-03,-1,-1.08,0.74,0.7
8.879200e-03,-1,-0.92,0.74,0.74
8.879360e-03,-1,-1.08,0.74,0.7
8.879520e-03,-1,-0.92,0.74,0.74
8.879680e-03,-1,-1,0.74,0.7
8.879840e-03,-1,-0.92,0.7,0.74
8.880000e-03,-1,-1,0.7,0.7
8.880160e-03,-1,-0.92,0.74,0.74
8.880320e-03,-1,-1.08,0.74,0.7
8.880480e-03,-1,-0.92,0.74,0.74
8.880640e-03,-0.92,-1,0.7,0.7
8.880800e-03,-1,-0.92,0.7,0.74
8.880960e-03,-1,-1.08,0.74,0.7
8.881120e-03,-1,-0.92,0.74,0.74
8.881280e-03,-1,-1.08,0.74,0.7
8.881440e-03,-1,-0.92,0.74,0.74
8.881600e-03,-1,-1.08,0.74,0.7
8.881760e-03,-1,-0.92,0.74,0.74
8.881920e-03,-1,-1.08,0.7,0.7
8.882080e-03,-1,-0.92,0.74,0.74
8.882240e-03,-1,-1.08,0.74,0.7
8.882400e-03,-1,-0.92,0.7,0.74
8.882560e-03,-1,-1.08,0.74,0.7
8.882720e-03,-1,-0.92,0.7,0.74
8.882880e-03,-1,-1.08,0.74,0.7
8.883040e-03,-1,-0.92,0.74,0.74
8.883200e-03,-1,-1.08,0.74,0.7
8.883360e-03,-0.92,-0.92,0.74,0.74
8.883520e-03,-1,-1,0.7,0.7
8.883680e-03,-1,-0.92,0.74,0.74
8.883840e-03,-1,-1,0.74,0.7
8.884000e-03,-1,-0.92,0.7,0.74
8.884160e-03,-1,-1,0.7,0.7
8.884320e-03,-1,-0.92,0.7,0.74
8.884480e-03,-1,-1,0.7,0.7
8.884640e-03,-1,-0.92,0.7,0.74
8.884800e-03,-1,-1,0.74,0.7
8.884960e-03,-1,-0.92,0.7,0.74
8.885120e-03,-1,-1.08,0.74,0.7
8.885280e-03,-1,-0.92,0.74,0.74
8.885440e-03,-0.92,-1,0.74,0.7
8.885600e-03,-1,-0.92,0.7,0.74
8.885760e-03,-1,-1.08,0.74,0.7
8.885920e-03,-1,-0.92,0.7,0.74
8.886080e-03,-1,-1,0.74,0.7
8.886240e-03,-1,-0.92,0.74,0.74
8.886400e-03,-1,-1.08,0.7,0.7
8.886560e-03,-1,-0.92,0.74,0.74
