vdc_idx,ring_idx,B_g,r_pi,mu_sigma_left,mu_sigma_right,fsr_local,frac_shift,delta_wn_cm_inv,success,note
5,6,7350.0,127.79671117467186,110.0974785034267,128.40525379056226,14411.425076999994,0.15149280535673285,0.09339877025692529,True,ok
5,7,7350.0,175.33802914388679,163.07920602901822,193.08315823191884,52649.42647050001,0.10148523232009815,0.06256796073988788,True,ok
5,8,7350.0,288.7782037040928,270.8822329773821,306.7169583146854,51925.79762999999,0.199304674359412,0.12287587815006903,True,ok
5,9,7350.0,367.856831613282,350.09583635457955,385.4590521479713,52009.548916499974,0.2500654859722092,0.15417107643169492,True,ok
5,10,7350.0,432.8142759672588,415.1641534144206,450.52736920781234,53007.47429850005,0.2887671647266749,0.17803154422113124,True,ok
5,11,7350.0,490.24042242512246,506.6836568471405,508.05153356506315,52428.305348999944,0.013237435699875283,0.0081611810726728,True,ok
5,12,7350.0,541.0766832238869,523.1398389702439,558.9745643075473,50390.3573775001,0.3847687776304024,0.23721872850209763,True,ok
5,13,7350.0,585.7937644820595,567.93324821195,575.3478832456639,55577.619598499965,0.07626282298458222,0.04701777002748595,True,ok
5,14,7350.0,631.4522579772461,613.669671401327,649.0328871947187,55295.78987249994,0.4037669338430677,0.24893152518068293,True,ok
5,15,7350.0,673.8158086428831,658.3377067847657,665.6610622339267,56191.79569950007,0.08627695092383157,0.05319170833775066,True,ok
5,16,7350.0,714.2965348344919,698.7567185397221,732.0185669232116,55213.81109999993,0.43096310205538413,0.2656985832647251,True,ok
5,17,7350.0,751.9530243150582,735.8826886351559,740.885242556538,53597.72146050003,0.06891721330540876,0.04248903409704609,True,ok
5,18,7350.0,786.785277084582,,,49850.62686450011,,,False,frac_shift=0.536 out of range
5,19,7350.0,817.8518809060492,805.6471715155537,835.5943147484335,60598.70863199991,0.4055407695844646,0.2500251353788314,True,ok
5,20,7350.0,834.3265950537968,832.6406771467584,837.7436542357805,85746.69413550023,0.049704149290214376,0.030643741855865828,True,ok
5,21,7350.0,854.0962520310943,,,52367.15361599997,,,False,frac_shift=0.529 out of range
5,22,7350.0,884.2214436155473,889.3973815500735,897.2149933987574,50742.64453500009,0.13762627272777786,0.08484973657692839,True,ok
5,23,7350.0,896.9305088152385,896.2636696386184,904.9367682544859,47980.181465999805,0.16279626866210162,0.10036761323187522,True,ok
